image,white_coating_%,avg_redness,avg_size,crack_score,jagged_score,Nutrition_Score,Mantle_Score
1.jpg,38.89295182374989,0.4888832855463411,24.592946058091286,1.6,16.453879152592968,93.0,74.2
10.jpg,15.512094698919196,0.6554703259755538,28.473684210526315,1.86,59.23553663770386,118.5,74.07
11.jpg,66.60943992436118,0.5221537750186881,24.696172248803826,2.38,39.76103444512254,77.6,73.81
12.jpg,55.924725994347554,0.4694963244880345,26.22742474916388,1.0,68.42804510947077,88.10000000000001,74.5
13.jpg,24.501895227913305,0.44362022989760524,26.98148148148148,0.48,45.117634522542986,108.3,74.76
14.jpg,57.25259183329224,0.3947439281548307,23.600135317997292,4.03,61.597570002680214,79.3,72.985
15.jpg,74.827519271947,0.3845149538328373,27.14461247637051,1.42,167.17045612692942,79.80000000000001,74.29
16.jpg,99.28331139388621,0.8930529582782331,26.18854415274463,9.4,63.78182572491748,64.5,70.3
17.jpeg,9.906974299679403,0.6567282005546211,24.539906103286384,3.8,55.22365820421987,109.9,73.1
18.jpg,47.379638862628795,0.6120218527393685,22.320993914807303,2.81,44.8110267424872,81.7,73.595
19.jpg,2.656521758670436,0.576752480824545,24.864008738394322,5.16,25.596476728047854,114.80000000000001,72.42
2.jpg,23.117615068967222,0.5000903977036414,26.677519379844963,2.46,52.783696724584175,108.3,73.77
20.jpg,0.5999154090103989,0.7245303767216134,22.46436004162331,8.52,165.98612594623052,109.2,70.74
21.jpg,62.058432934926955,0.27328610752077986,22.515057113187954,3.58,101.067607487661,72.9,73.21
22.jpg,64.22155688622755,0.8316423807454003,29.76991150442478,2.51,50.10148565930496,95.1,73.745
23.jpg,0.9698558322411532,1.1349230772699288,24.78754578754579,10.0,102.0357699112684,117.2,70.0
24.jpg,30.435453348691787,0.7473096321780479,24.051044083526683,1.4,16.227845627668614,97.0,74.3
25.jpg,0.0,0.8271568491679279,29.34127740705434,3.99,26.783781894683464,130.5,73.005
26.jpg,0.3109551905597194,0.6332693609735018,24.167235494880547,6.03,55.74579744021491,114.2,71.985
27.jpg,43.329893117977235,0.7779270505830516,25.873076923076923,2.27,55.052913363220675,95.19999999999999,73.865
28.jpg,68.00298668836209,0.5536760003014956,24.43370907139023,2.48,146.7930749708034,76.10000000000001,73.76
29.jpeg,83.77143922445936,0.7258451313678774,27.624137931034483,3.07,157.98486553362233,77.2,73.465
3.jpg,26.20131078103088,0.37056232029082,24.780254777070063,3.34,39.55396691378173,100.5,73.33
30.jpg,49.021707388299426,0.39400247623869666,25.225563909774436,4.51,59.21210951900994,88.80000000000001,72.745
31.jpg,71.00871999138766,0.46133628664906673,23.962389380530972,4.57,46.56248350731594,72.69999999999999,72.715
32.jpg,56.81382541759211,0.6467009179607807,25.919148936170213,3.43,69.55776648108483,87.2,73.285
33.jpeg,10.217221644120707,0.5831150394328839,27.46718146718147,1.49,32.28461575174477,118.3,74.25500000000001
34.jpg,1.0065309258547828,1.1164826383422088,23.035569105691057,3.01,133.34471338631943,111.89999999999999,73.495
35.jpeg,22.01149425287356,0.5255873067538986,25.233409610983983,4.44,52.020154186381475,104.7,72.78
36.jpeg,29.402193880228833,0.5471182308460137,25.736526946107784,5.1,42.56817129643331,102.0,72.45
37.jpeg,57.61218244165038,0.35364028950276155,26.612794612794612,4.35,80.63886542221556,88.0,72.825
38.jpeg,30.814047580514647,0.5145018621739909,24.26143790849673,3.89,31.384922661181008,96.7,73.055
39.jpeg,30.907573931584313,0.4472984326965289,23.70391061452514,7.26,41.30541473329618,94.80000000000001,71.37
4.jpg,40.98750398654721,0.4419611732241744,25.453488372093023,1.54,28.494243283226332,94.3,74.23
40.jpeg,11.462700281398956,0.6178614637425289,23.779661016949152,0.0,43.244683826105764,106.6,75.0
41.jpeg,0.08529239298470068,0.46286168012256074,31.5703125,2.91,22.096312494059823,136.1,73.545
42.jpeg,7.463245622249275,0.8253895513573807,21.148095909732017,10.0,120.7982315556135,101.7,70.0
43.jpeg,26.698274831666602,0.5354570008403319,25.57037037037037,9.68,51.79983464306011,103.10000000000001,70.16
44.jpeg,48.17079829638528,0.7883419198515043,28.572115384615383,1.91,36.66609304284145,100.60000000000001,74.045
45.jpeg,21.22181083810165,0.9177688481163684,23.6480686695279,2.08,44.79927156448612,101.6,73.96
46.jpeg,52.35068361717439,0.6876019300146767,31.707920792079207,1.34,49.34508928917862,107.30000000000001,74.33
47.jpeg,61.69626258093468,0.4743157159741911,26.53074433656958,5.4,42.589543082569975,85.8,72.30000000000001
48.jpeg,0.8347296268088347,0.5913563277748459,26.12842105263158,10.0,50.135261387502005,119.7,70.0
49.jpeg,34.30783817951959,0.7422957397648633,23.630705394190873,2.36,43.8781734696838,93.5,73.82
5.jpg,6.086215631188688,0.5559486937111638,24.59317211948791,1.49,17.73687086619753,112.0,74.25500000000001
50.jpeg,0.0,0.8676722496401678,28.110749185667753,2.93,30.77652466647876,126.89999999999999,73.535
6.jpg,25.371134767180827,0.820309554050037,23.276691729323307,1.75,65.89628148029894,97.8,74.125
7.jpg,21.565151323287324,0.6691015356504478,26.779141104294478,1.23,68.48172217879367,110.0,74.385
8.jpg,63.49206349206349,0.3126748826968279,20.0,0.0,53.47496661650291,64.7,75.0
